repo,commit,creation_date,stars,lines_of_code,primary_language,secondary_language
iflytek/astron-agent,bf285fd637e0920f38fbfd293f22e950b7534484,2025-09-19,1852,321122.0,TypeScript,Java
OpenAnalystInc/OpenAnalyst,96adc4f87c34ef55b80c408317718a4c4b62fa30,2025-09-07,114,213011.0,TypeScript,CSS
OwnGoalStudio/TrollVNC,14f6f44087059b952a420e393a4645a5db5a45ec,2025-08-25,225,65377.0,C Header,JavaScript
lxz-jiandan/Overt,0963f58925867027636802ad0b86cc0a47353711,2025-08-01,172,52540.0,C Header,C++
HapeLee/legado-with-MD3,82b4a300590c2c11bc99a6b7b61d76bfa2beb67f,2025-08-28,124,130433.0,Kotlin,Java
glowxq/glowxq-oj,d9c6f34ddff18c84374c3445e1a9487fc19ed858,2025-08-28,180,92128.0,Java,JavaScript
nook-browser/Nook,472de205977e26239465a5ceb2f2da8797fb874b,2025-08-01,938,50335.0,Swift,C
wieslawsoltes/VelloSharp,d3208ba453156c390b5309244fbeae27b4a7b96c,2025-09-25,181,152687.0,C#,Rust
alibaba/RecIS,40663ec676a676bd1b6171afb418d3e5a6afd622,2025-09-11,227,308378.0,C++,C Header
mahdiMGF2/mirza_pro,df521b58d93b7d67191a8dd812164a06c693d699,2025-10-15,161,170471.0,PHP,JavaScript
wenge-research/x-agent,78935e129fafbed08af103041304e8e1f53b39e4,2025-08-04,920,688464.0,Vue,Java
mzazon/awesome-cloud-projects,e1784e0b35f1dfb8f51ba275dd5f356ac5052b25,2025-08-24,231,2981402.0,Shell,Terraform
deweloperuch/rejestr-cen-nieruchomosci,283478929d58aab8a5370b94667443aa245cfcfc,2025-09-26,124,1038222.0,Game Maker Language,License
ccfos/huatuo,bb5e6fc1ca32ccbcbeac1a68ef16df653469e9da,2025-08-04,640,1859496.0,Go,C Header
clduab11/gemini-flow,8e22487dadac8c32bedbba4939933310d7c855c6,2025-08-01,133,475795.0,JavaScript,TypeScript
Tencent-BAC/FastMTP,5875b708b34007eeab3cdf27bc8aca517f87eb21,2025-09-01,195,1237994.0,Python,Shell
iflytek/astron-agent,7654df4e2055d1c2b58eef5d109ba3462284e719,2025-09-19T08:46:01Z,1863,442351.0,Java,Python
mmulet/term.everything,ba5fee67ae38e64440d9122501341daaef3ffbf8,2025-09-07,6444,721788.0,C Header,TypeScript
XTXMarkets/ternfs,6bfd89dec7d1f6d5e42e263f4dd127d3b3cbbf12,2025-09-02,1011,615037.0,Go,C
Deng-m1/MaliangAINovalWriter,2f92fc1dd770632202019813081ee9b33a2e7431,2025-09-09,197,490981.0,JavaScript,Dart
psyb0t/piraterf,0ad22bdbd85e9b9d3cc431068b25ad3e1235e18b,2025-09-17,132,720638.0,Go,License
mmulet/term.everything,0e17f779aa0d853c2c4a38038e09def2f8bb8df3,2025-09-07T02:52:48Z,6448,910540.0,C Header,TypeScript
